name,affiliation,homepage,scholarid
A. Suruliandi,Manonmaniam Sundaranar University,,NOSCHOLARPAGE
Aayush Aggarwal,IIIT Delhi,,NOSCHOLARPAGE
Abdallah Tubaishat,Zayed University,,NOSCHOLARPAGE
Abdel-Fattah Attia,Kafrelsheikh University,,NOSCHOLARPAGE
Abderrahim Benslimane,University of Avignon,,NOSCHOLARPAGE
Abdulhameed Alelaiwi,King Saud University,,NOSCHOLARPAGE
Abdullah Abusorrah,King Abdulaziz University,,NOSCHOLARPAGE
Abdur Rahim Mohammad Forkan,Swinburne University of Technology,,NOSCHOLARPAGE
Abhijit Chakraborty,University of Hyogo,,NOSCHOLARPAGE
Abhijit Majumdar,University of Texas at San Antonio,,NOSCHOLARPAGE
Abhijnan Chakraborty,Max Planck Institute,,NOSCHOLARPAGE
Abhishek Chakraborty 0002,IIT Madras,,NOSCHOLARPAGE
Abigail Paradise,Ben-Gurion University of the Negev,,NOSCHOLARPAGE
Abolfazl Yaghmaei,University of Tehran,,NOSCHOLARPAGE
Aboul Ella Hassanien,Cairo University,,NOSCHOLARPAGE
Adam Boessen,University of Missouri,,NOSCHOLARPAGE
Adam Goodie,University of Georgia,,NOSCHOLARPAGE
Adam R. Roth,Indiana University,,NOSCHOLARPAGE
Adama S. Marra,The Research Institute for Development,,NOSCHOLARPAGE
Aditya S. Khanna,University of Chicago,,NOSCHOLARPAGE
Adrian E. Raftery,University of Washington,,NOSCHOLARPAGE
Adriana Iamnitchi,University of South Florida,,NOSCHOLARPAGE
Adriana P. A. van Beek,NIVEL: Netherlands Institute for Health Services Research,,NOSCHOLARPAGE
Adriana S. Vivacqua,UFRJ,,NOSCHOLARPAGE
Afshan Saleem,University of Gujrat,,NOSCHOLARPAGE
Ahmed Al Marouf,Daffodil International University (DIU),,NOSCHOLARPAGE
Ahmed AlEroud,Yarmouk University,,NOSCHOLARPAGE
Ahmed Mourad,Massachusetts Institute of Technology,,NOSCHOLARPAGE
Ahsan Shehzad,Dalian University of Technology,,NOSCHOLARPAGE
Ai-Wen Li,Dalian Minzu University,,NOSCHOLARPAGE
Aili Malm,California State University at Long Beach,,NOSCHOLARPAGE
Aixin Sun,Nanyang Technological University,,NOSCHOLARPAGE
Ajay Mehra,University of Kent,,NOSCHOLARPAGE
Akash Anil,IIT Guwahati,,NOSCHOLARPAGE
Alain Barrat,CNRS,,NOSCHOLARPAGE
Alain Degenne,CNRS,,NOSCHOLARPAGE
Alan Kuhnle,University of Florida,,NOSCHOLARPAGE
Alayne M. Adams,Columbia University,,NOSCHOLARPAGE
Albert Y. Zomaya,University of Sydney,,NOSCHOLARPAGE
Alberto Aziani,Università Cattolica del Sacro Cuore,,NOSCHOLARPAGE
Alberto Caimo,Technological University Dublin,,NOSCHOLARPAGE
Albin Zehe,Julius Maximilians University Würzburg,,NOSCHOLARPAGE
Alden S. Klovdahl,Australian National University,,NOSCHOLARPAGE
Alejandro Arnulfo Ruiz-León,National Autonomous University of Mexico,,NOSCHOLARPAGE
Alejandro Rivero,University of Zaragoza,,NOSCHOLARPAGE
Ales Ziberna,University of Ljubljana,,NOSCHOLARPAGE
Alessandro Checco,University of Sheffield,,NOSCHOLARPAGE
Alessandro Lomi,University of Italian Switzerland,,NOSCHOLARPAGE
Alessandro Spelta,Catholic University,,NOSCHOLARPAGE
Alessio D'Angelo,Middlesex University,,NOSCHOLARPAGE
Alex 'Sandy' Pentland,Massachusetts Institute of Technology,,NOSCHOLARPAGE
Alex Cassidy,Washington University in St. Louis,,NOSCHOLARPAGE
Alex D. Stivala,University of Melbourne,,NOSCHOLARPAGE
Alex Doboli,Stony Brook University,,NOSCHOLARPAGE
